2026-04-18 15:21:50 | INFO     | backend.rag.embedding_service | embedding_service.py:56 | Embedding 成功，维度: 1024
2026-04-18 15:21:50 | INFO     | backend.rag.retriever | retriever.py:152 | 增强检索完成: query=出发，预算3000，想去苏州玩3天，亲子..., rewrite=2, candidates=6, results=5
2026-04-18 15:21:50 | INFO     | backend.agents.coordinator | coordinator.py:103 | [LangGraph] Node: planner_node
2026-04-18 15:21:50 | INFO     | backend.agents.planner_agent | planner_agent.py:91 | PlannerAgent 处理请求: 出发，预算3000，想去苏州玩3天，亲子出行，住地铁附近，不吃辣...
2026-04-18 15:21:52 | INFO     | backend.main | main.py:95 | 客户端断开连接
2026-04-18 15:21:52 | INFO     | backend.main | main.py:95 | 客户端断开连接
2026-04-18 15:21:52 | INFO     | backend.main | main.py:95 | 客户端断开连接
2026-04-18 15:21:52 | INFO     | backend.main | main.py:95 | 客户端断开连接
2026-04-18 15:22:26 | INFO     | backend.main | main.py:26 | 应用启动，开始初始化 Agent...
2026-04-18 15:22:26 | INFO     | agent_manager | agent_manager.py:71 | 初始化 LangGraph Multi-Agent...
2026-04-18 15:22:27 | WARNING  | agent_manager | agent_manager.py:79 | MCP 工具初始化失败：unhandled errors in a TaskGroup (1 sub-exception)，将使用无工具模式
2026-04-18 15:22:27 | INFO     | backend.agents.coordinator | coordinator.py:68 | 初始化 LangGraph Multi-Agent...
2026-04-18 15:22:31 | INFO     | backend.agents.visualization_agent | visualization_agent.py:65 | 豆包图像生成器初始化成功，模型: doubao-seedream-5-0-260128
2026-04-18 15:22:31 | INFO     | backend.agents.coordinator | coordinator.py:78 | 所有 Agent 初始化完成
2026-04-18 15:22:31 | INFO     | agent_manager | agent_manager.py:94 | MultiAgentGraph 实例创建完成
2026-04-18 15:22:31 | INFO     | agent_manager | agent_manager.py:55 | Agent 启动初始化成功
2026-04-18 15:22:31 | INFO     | backend.main | main.py:30 | Agent 初始化成功，服务就绪
2026-04-18 15:22:31 | INFO     | backend.main | main.py:85 | WebSocket 连接建立：Address(host='127.0.0.1', port=58282)
2026-04-18 15:22:32 | INFO     | backend.main | main.py:85 | WebSocket 连接建立：Address(host='127.0.0.1', port=61326)
2026-04-18 15:22:34 | INFO     | backend.main | main.py:85 | WebSocket 连接建立：Address(host='127.0.0.1', port=55262)
2026-04-18 15:22:36 | INFO     | backend.main | main.py:85 | WebSocket 连接建立：Address(host='127.0.0.1', port=56159)
2026-04-18 15:22:36 | INFO     | backend.main | main.py:95 | 客户端断开连接
2026-04-18 15:22:36 | INFO     | backend.main | main.py:85 | WebSocket 连接建立：Address(host='127.0.0.1', port=63016)
2026-04-18 15:22:39 | INFO     | backend.main | main.py:85 | WebSocket 连接建立：Address(host='127.0.0.1', port=52738)
2026-04-18 15:22:54 | INFO     | backend.agents.coordinator | coordinator.py:68 | 初始化 LangGraph Multi-Agent...
2026-04-18 15:22:54 | INFO     | backend.agents.coordinator | coordinator.py:78 | 所有 Agent 初始化完成
2026-04-18 15:22:54 | INFO     | backend.agents.coordinator | coordinator.py:358 | [LangGraph] 开始处理请求: 我从北京出发，预算3000，想去苏州玩3天，亲子出行，住地铁附近，不吃辣...
2026-04-18 15:22:54 | INFO     | backend.agents.coordinator | coordinator.py:82 | [LangGraph] Node: search_node
2026-04-18 15:22:54 | INFO     | backend.agents.search_agent | search_agent.py:65 | SearchAgent 处理查询: 我从北京出发，预算3000，想去苏州玩3天，亲子出行，住地铁附近，不吃辣...
2026-04-18 15:23:27 | INFO     | backend.agents.search_agent | search_agent.py:124 | 外部搜索完成，找到 2 条结果
2026-04-18 15:23:27 | INFO     | backend.rag.vector_store | vector_store.py:174 | 当前向量后端: chroma
2026-04-18 15:23:27 | INFO     | backend.rag.document_processor | document_processor.py:107 | 原始文档已保存: 337defc1fc71dbcb
2026-04-18 15:23:27 | INFO     | backend.rag.document_processor | document_processor.py:182 | 文档 337defc1fc71dbcb 分为 1 个块
2026-04-18 15:23:27 | INFO     | backend.rag.document_processor | document_processor.py:227 | 文档处理完成: 337defc1fc71dbcb, 1 个块
2026-04-18 15:23:28 | INFO     | backend.rag.vector_store | vector_store.py:62 | 成功添加 1 个文档到 ChromaDB
2026-04-18 15:23:28 | INFO     | backend.rag.document_processor | document_processor.py:107 | 原始文档已保存: d093673496f0a965
2026-04-18 15:23:28 | INFO     | backend.rag.document_processor | document_processor.py:182 | 文档 d093673496f0a965 分为 1 个块
2026-04-18 15:23:28 | INFO     | backend.rag.document_processor | document_processor.py:227 | 文档处理完成: d093673496f0a965, 1 个块
